Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Nicaragua,16,5,7,4,0,31.25,43.75,71.43,6624554,2.0,15,1,6.67
Niger,815,45,617,153,20,5.52,75.71,7.29,24206636,34.0,755,77,10.2
Nigeria,4151,128,745,3278,239,3.08,17.95,17.18,206139587,20.0,2802,1839,65.63
North Macedonia,1622,91,1112,419,36,5.61,68.56,8.18,2083380,779.0,1518,146,9.62
Norway,8099,219,32,7848,29,2.7,0.4,684.38,5421242,1494.0,7904,228,2.88
Oman,3224,17,1068,2139,112,0.53,33.13,1.59,5106622,631.0,2637,936,35.49
Pakistan,28736,636,7809,20291,2301,2.21,27.17,8.14,220892331,130.0,20941,11140,53.2
Panama,8282,237,4501,3544,212,2.86,54.35,5.27,4314768,1919.0,7197,1419,19.72
Papua New Guinea,8,0,8,0,0,0.0,100.0,0.0,8947027,1.0,8,0,0.0
Paraguay,689,10,155,524,126,1.45,22.5,6.45,7132530,97.0,415,309,74.46
Peru,65015,1814,20246,42955,3168,2.79,31.14,8.96,32971846,1972.0,47372,21450,45.28
Philippines,10610,704,1842,8064,147,6.64,17.36,38.22,109581085,97.0,9485,1601,16.88
Poland,15651,785,5437,9429,285,5.02,34.74,14.44,37846605,414.0,14006,2320,16.56
Portugal,27406,1126,2499,23781,138,4.11,9.12,45.06,10196707,2688.0,25524,2155,8.44
Qatar,21331,13,2449,18869,1130,0.06,11.48,0.53,2881060,7404.0,16191,7432,45.9
Romania,15131,939,6912,7280,320,6.21,45.68,13.59,19237682,787.0,13512,2076,15.36
Russia,198676,1827,31916,164933,10817,0.92,16.06,5.72,145934460,1361.0,145268,76076,52.37
Rwanda,280,0,140,140,7,0.0,50.0,0.0,12952209,22.0,261,24,9.2
Saint Kitts and Nevis,15,0,14,1,0,0.0,93.33,0.0,53109,282.0,15,0,0.0
Saint Lucia,18,0,17,1,0,0.0,94.44,0.0,183629,98.0,18,0,0.0
Saint Vincent and the Grenadines,17,0,9,8,0,0.0,52.94,0.0,110854,153.0,17,0,0.0
San Marino,637,41,126,470,14,6.44,19.78,32.54,33938,18770.0,582,46,7.9
Sao Tome and Principe,208,5,4,199,0,2.4,1.92,125.0,219159,949.0,23,185,804.35
Saudi Arabia,37136,239,10144,26753,1704,0.64,27.32,2.36,34813867,1067.0,28656,12358,43.13
Senegal,1634,17,643,974,83,1.04,39.35,2.64,16743930,98.0,1271,615,48.39
Serbia,10032,215,2732,7085,89,2.14,27.23,7.87,8737370,1148.0,9557,619,6.48
Seychelles,11,0,8,3,0,0.0,72.73,0.0,98340,112.0,11,0,0.0
Sierra Leone,291,18,58,215,34,6.19,19.93,31.03,7976985,36.0,178,160,89.89
Singapore,22460,20,2296,20144,753,0.09,10.22,0.87,5850343,3839.0,18778,5044,26.86
Slovakia,1455,26,919,510,0,1.79,63.16,2.83,5459643,267.0,1413,44,3.11
Slovenia,1454,101,255,1098,4,6.95,17.54,39.61,2078932,699.0,1439,21,1.46
Somalia,997,48,110,839,69,4.81,11.03,43.64,15893219,63.0,756,333,44.05
South Africa,9420,186,3983,5251,525,1.97,42.28,4.67,59308690,159.0,7220,3432,47.53
South Sudan,120,0,2,118,0,0.0,1.67,0.0,11193729,11.0,46,110,239.13
Spain,223578,26478,133952,63148,721,11.84,59.91,19.77,93691843,2386.0,218011,9425,4.32
Sri Lanka,847,9,260,578,12,1.06,30.7,3.46,21413250,40.0,751,118,15.71
Sudan,1164,64,119,981,53,5.5,10.22,53.78,43849269,27.0,678,848,125.07
Suriname,10,1,9,0,0,10.0,90.0,11.11,586634,17.0,10,0,0.0
Sweden,25921,3220,4971,17730,656,12.42,19.18,64.78,10099270,2567.0,22721,3949,17.38
Switzerland,30251,1830,26400,2021,44,6.05,87.27,6.93,8654618,3495.0,29981,363,1.21
Syria,47,3,29,15,0,6.38,61.7,10.34,17500657,3.0,44,3,6.82
Taiwan*,440,6,361,73,0,1.36,82.05,1.66,23806638,18.0,438,2,0.46
Tajikistan,612,20,0,592,90,3.27,0.0,inf,9537642,64.0,230,431,187.39
Tanzania,509,21,183,305,0,4.13,35.95,11.48,59734213,9.0,480,29,6.04
Thailand,3004,56,2787,161,4,1.86,92.78,2.01,69799978,43.0,2987,28,0.94
Timor-Leste,24,0,21,3,0,0.0,87.5,0.0,1318442,18.0,24,0,0.0
Togo,153,10,87,56,8,6.54,56.86,11.49,8278737,18.0,126,55,43.65
Trinidad and Tobago,116,8,104,4,0,6.9,89.66,7.69,1399491,83.0,116,0,0.0
Tunisia,1032,45,660,327,2,4.36,63.95,6.82,11818618,87.0,1018,14,1.38
Turkey,137115,3739,89480,43896,1546,2.73,65.26,4.18,84339067,1626.0,127659,12112,9.49
US,1309550,78795,212534,1018221,25621,6.02,16.23,37.07,330541757,3962.0,1180375,167506,14.19
Uganda,116,0,55,61,15,0.0,47.41,0.0,45741000,3.0,97,24,24.74
Ukraine,14710,376,2909,11425,515,2.56,19.78,12.93,43733759,336.0,12331,3317,26.9
United Arab Emirates,17417,185,4295,12937,624,1.06,24.66,4.31,9890400,1761.0,14730,4148,28.16
United Kingdom,216525,31662,1001,183862,3896,14.62,0.46,3163.04,68395658,3166.0,191832,32500,16.94
Uruguay,702,18,513,171,8,2.56,73.08,3.51,3473727,202.0,657,54,8.22
Uzbekistan,2349,10,1846,493,24,0.43,78.59,0.54,33469199,70.0,2189,297,13.57
Venezuela,402,10,190,202,14,2.49,47.26,5.26,28435943,14.0,357,65,18.21
Vietnam,288,0,241,47,0,0.0,83.68,0.0,97338583,3.0,271,17,6.27
West Bank and Gaza,375,2,228,145,0,0.53,60.8,0.88,4543126,83.0,362,13,3.59
Western Sahara,6,0,5,1,0,0.0,83.33,0.0,597330,10.0,6,0,0.0
Yemen,34,7,1,26,0,20.59,2.94,700.0,29825968,1.0,12,44,366.67
Zambia,252,7,112,133,85,2.78,44.44,6.25,18383956,14.0,137,130,94.89
Zimbabwe,35,4,9,22,1,11.43,25.71,44.44,14862927,2.0,34,2,5.88
